2015-12-18 21:14:29,028 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @127992ms
2015-12-18 21:14:29,381 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2015-12-18 21:14:29,461 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@613d0257{/help,null,AVAILABLE}
2015-12-18 21:14:29,505 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@2dd8e414{HTTP/1.1}{127.0.0.1:63624}
2015-12-18 21:14:29,505 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @128510ms
2015-12-18 21:29:22,015 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@2dd8e414{HTTP/1.1}{127.0.0.1:0}
2015-12-18 21:29:22,053 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@613d0257{/help,null,UNAVAILABLE}
2016-03-10 17:20:42,315 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not available. Remote download required.
2016-03-11 15:39:43,158 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-03-11 21:11:52,769 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-03-13 16:18:42,594 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-03-16 16:41:45,461 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-03-19 16:50:58,165 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-03-20 13:30:01,153 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-04-04 15:36:27,641 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-04-04 18:46:00,275 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-04-04 20:57:27,780 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
